Frequencia (Hz),Amplitude (dB)
1983.62,140.85
838.52,140.84
1953.04,140.84
376.12,140.84
1926.16,140.84
1963.94,140.84
1006.51,140.83
828.1,140.83
1966.67,140.83
355.76,140.82
1942.62,140.82
361.12,140.82
368.81,140.81
1988.58,140.81
1960.24,140.81
950.03,140.8
1978.36,140.79
213.77,140.79
965.32,140.77
1101.66,140.77
1918.56,140.76
835.99,140.75
1962.19,140.75
1012.75,140.75
242.89,140.75
964.73,140.75
377.48,140.75
370.56,140.74
1982.93,140.73
1947.48,140.73
1001.74,140.73
850.5,140.73
1951.38,140.72
368.62,140.72
732.46,140.72
1940.08,140.7
2010.69,140.7
3993.04,140.7
945.26,140.7
1943.39,140.7
589.4,140.68
2034.45,140.68
316.9,140.68
1955.76,140.67
1951.57,140.66
1108.38,140.66
371.15,140.65
377.97,140.65
2022.57,140.65
1962.09,140.64
321.38,140.64
370.86,140.64
5988.63,140.64
242.11,140.64
680.94,140.63
2018.77,140.63
2003.39,140.62
946.52,140.61
1970.08,140.6
560.86,140.59
968.14,140.58
948.47,140.58
1949.72,140.58
540.51,140.58
836.86,140.57
1960.15,140.57
372.9,140.56
965.51,140.55
1926.06,140.54
365.4,140.53
943.8,140.53
365.99,140.53
246.3,140.52
554.63,140.52
1108.09,140.52
1964.72,140.52
373.78,140.51
1019.56,140.51
249.12,140.51
1965.79,140.5
948.96,140.5
1011.48,140.49
374.07,140.49
5988.34,140.49
286.42,140.49
840.47,140.48
1200.71,140.48
991.13,140.48
947.89,140.47
737.72,140.47
1943.2,140.46
965.03,140.46
243.57,140.46
1949.92,140.45
1942.42,140.45
748.63,140.44
188.74,140.44
1135.46,140.44
756.61,140.43
917.99,140.42
560.47,140.41
755.64,140.41
754.96,140.4
1963.26,140.4
598.36,140.39
916.72,140.38
1961.02,140.38
354.69,140.37
1016.74,140.37
989.67,140.37
1005.34,140.37
368.71,140.36
970.38,140.36
732.66,140.36
2005.53,140.35
836.08,140.35
1949.14,140.34
754.18,140.34
758.76,140.34
996.68,140.34
751.55,140.34
821.38,140.33
1951.77,140.33
991.22,140.32
947.79,140.32
944.67,140.31
706.26,140.3
844.85,140.3
755.35,140.3
904.06,140.29
1987.8,140.29
5988.73,140.29
741.23,140.29
741.52,140.28
1023.36,140.27
848.84,140.26
825.57,140.25
968.73,140.24
1937.94,140.24
748.73,140.24
947.5,140.24
1283.88,140.23
1138.28,140.23
1885.06,140.22
311.06,140.22
5986.69,140.21
359.75,140.21
182.9,140.21
846.21,140.2
260.32,140.2
993.07,140.2
949.25,140.19
952.56,140.19
286.03,140.18
781.93,140.18
991.71,140.17
361.8,140.17
957.04,140.16
364.53,140.16
1941.25,140.16
374.56,140.16
1968.13,140.16
1955.37,140.15
243.76,140.14
235.68,140.14
376.31,140.13
986.84,140.12
1958.2,140.11
931.52,140.09
5986.98,140.09
911.17,140.09
998.53,140.09
376.6,140.08
263.05,140.08
1960.44,140.07
7982.28,140.07
1956.05,140.06
947.59,140.06
195.17,140.04
1971.93,140.04
2034.36,140.04
847.57,140.04
316.51,140.04
959.28,140.03
1009.82,140.03
1979.91,140.02
1284.75,140.02
846.11,140.02
1988.19,140.02
999.31,140.01
231.49,140.01
2032.41,140.01
1974.27,140.0
363.36,140.0
162.83,139.99
1952.94,139.98
1984.59,139.98
381.86,139.98
372.32,139.97
1941.15,139.97
944.96,139.96
549.57,139.96
1932.1,139.96
137.81,139.96
1945.34,139.96
1037.29,139.95
1980.99,139.95
755.25,139.93
7982.87,139.92
976.13,139.92
1887.1,139.91
915.26,139.91
285.54,139.9
377.38,139.9
553.36,139.9
1973.1,139.9
245.42,139.9
1971.83,139.89
996.77,139.89
909.12,139.89
1963.36,139.88
827.51,139.88
1958.98,139.88
943.89,139.88
1981.67,139.87
751.65,139.87
732.75,139.87
